0,177,39
1,176,38
2,175,37
3,174,36
4,173,35
5,172,34
6,171,33
7,170,32
8,169,31
9,168,30
10,167,30
11,166,30
12,165,30
13,164,31
14,163,31
15,162,31
16,161,31
17,160,31
18,159,31
19,158,31
20,157,31
21,156,31
22,155,32
23,154,33
24,153,34
25,152,35
26,151,35
27,150,35
28,149,35
29,148,36
30,147,36
31,146,37
32,145,38
33,144,39
34,143,39
35,142,39
36,141,40
37,140,41
38,139,41
39,138,41
40,137,42
41,136,42
42,135,42
43,134,42
44,133,42
45,132,43
46,131,44
47,130,45
48,129,45
49,128,45
50,127,46
51,126,47
52,125,47
53,124,48
54,123,48
55,122,49
56,121,50
57,120,51
58,119,52
59,118,53
60,117,54
61,116,55
62,115,56
63,114,57
64,113,58
65,112,59
66,111,60
67,110,61
68,109,62
69,108,61
70,107,62
71,106,63
72,105,64
73,104,65
74,103,65
75,102,66
76,101,67
77,100,68
78,99,69
79,98,70
80,97,71
81,96,72
82,95,73
83,95,74
84,94,75
85,93,76
86,92,77
87,91,78
88,90,79
89,89,80
90,88,81
91,87,82
92,86,83
93,85,84
94,84,85
95,83,86
96,82,87
97,81,88
